núm_corre,año_ocu,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_5,depto_ocu,mupio_ocu,área_geo_ocu,zona_ocu,sexo_per,edad_per,mayor_menor,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,fall_les,int_o_noint,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
1,2015,1,1,4,16,3,2,1,101,1,1,1,19,1,2,2,4,2,1,4,21,5,2011,5,1
2,2015,1,1,4,16,3,2,1,101,1,1,2,19,1,2,2,4,2,1,4,21,5,2011,5,1
3,2015,1,1,4,22,4,3,1,101,1,16,1,32,1,5,5,7,2,1,4,21,5,9999,6,1
4,2015,1,1,4,2,1,1,1,101,1,7,1,18,1,2,2,4,2,1,4,21,1,2000,4,1
5,2015,1,1,4,9,2,1,1,101,1,12,1,20,1,3,3,5,1,2,4,40,5,9999,6,2
6,2015,1,1,4,1,1,1,1,115,1,8,1,23,1,3,3,5,1,2,1,34,4,9999,6,2
7,2015,1,1,4,8,2,1,1,114,2,99,1,19,1,2,2,4,2,1,4,41,4,9999,6,3
8,2015,1,1,4,8,2,1,1,114,2,99,1,15,2,2,2,4,2,1,4,41,4,9999,6,3
9,2015,1,1,4,8,2,1,1,114,2,99,2,52,1,9,9,11,2,1,4,41,4,9999,6,3
10,2015,1,1,4,17,3,2,1,110,2,99,1,23,1,3,3,5,2,1,4,21,1,9999,6,1
11,2015,1,1,4,10,2,1,6,602,2,99,1,24,1,3,3,5,2,1,4,99,5,9999,6,3
12,2015,1,1,4,20,4,3,6,602,2,99,1,20,1,3,3,5,2,1,1,99,6,9999,6,1
13,2015,1,1,4,20,4,3,6,602,2,99,1,24,1,3,3,5,2,1,1,34,9,2001,4,1
14,2015,1,1,4,20,4,3,6,602,2,99,1,29,1,4,4,6,2,1,3,44,1,2015,5,1
15,2015,1,1,4,20,4,3,6,602,2,99,1,35,1,6,6,8,2,1,3,44,1,2015,5,1
16,2015,1,1,4,7,2,1,11,1101,2,99,1,25,1,4,4,6,2,1,3,44,2,2001,4,3
17,2015,1,1,4,7,2,1,11,1101,2,99,1,17,2,2,2,4,2,1,3,44,2,2001,4,3
18,2015,1,1,4,7,2,1,11,1101,2,99,1,18,1,2,2,4,2,1,3,44,2,2001,4,3
19,2015,1,1,4,7,2,1,11,1101,2,99,1,20,1,3,3,5,2,1,3,44,2,2001,4,3
20,2015,1,1,4,7,2,1,11,1101,2,99,1,22,1,3,3,5,2,1,3,44,2,2001,4,3
21,2015,1,1,4,7,2,1,11,1101,2,99,1,32,1,5,5,7,2,1,3,44,2,2001,4,3
22,2015,1,1,4,7,2,1,11,1101,2,99,2,47,1,8,8,10,2,1,3,44,2,2001,4,3
23,2015,1,1,4,7,2,1,11,1101,2,99,1,50,1,9,9,11,2,1,3,44,2,2001,4,3
24,2015,1,2,5,1,1,1,1,101,1,16,1,23,1,3,3,5,2,1,1,5,5,9999,6,1
