núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,mupio_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
1,2017,1,1,1,1,1,7,101,1,6,2,23,3,3,5,1,1,28,2,9999,6,1,2,1
2,2017,1,1,1,1,1,7,101,1,6,2,4,1,1,1,2,1,28,2,9999,6,1,2,1
3,2017,1,1,1,1,1,7,101,1,6,2,14,1,1,3,2,1,28,2,9999,6,1,2,1
4,2017,1,2,1,1,1,7,110,1,99,1,20,3,3,5,1,4,18,1,9999,6,2,2,1
5,2017,1,2,1,1,1,7,110,1,99,2,21,3,3,5,1,4,18,1,9999,6,2,2,1
6,2017,1,2,1,1,1,7,110,1,99,2,18,2,2,4,1,4,18,1,9999,6,2,1,2
7,2017,1,10,2,1,1,7,504,5,99,2,19,2,2,4,1,14,6,1,2014,5,1,2,1
8,2017,1,10,2,1,1,7,504,5,99,2,36,6,6,8,1,14,6,1,2014,5,1,2,1
9,2017,1,10,2,1,1,7,504,5,99,2,16,2,2,4,2,14,6,1,2014,5,1,2,1
10,2017,1,14,3,2,1,7,511,5,99,1,21,3,3,5,1,4,64,5,9999,6,1,2,1
11,2017,1,14,3,2,1,7,511,5,99,2,36,6,6,8,1,4,64,5,9999,6,1,2,1
12,2017,1,2,1,1,1,7,502,5,99,1,30,5,5,7,1,4,54,5,9999,6,1,2,1
13,2017,1,20,4,3,1,7,107,1,99,1,18,2,2,4,1,4,999,99,9999,6,1,1,2
14,2017,1,7,2,1,1,7,1301,13,99,1,33,5,5,7,1,4,67,1,2007,4,2,2,1
15,2017,1,7,2,1,1,7,1301,13,99,1,26,4,4,6,1,4,67,1,2007,4,2,2,1
16,2017,1,16,3,2,1,7,801,8,99,1,999,16,12,18,1,1,69,1,9999,6,1,2,1
17,2017,1,16,3,2,1,7,801,8,99,2,999,16,12,18,1,2,69,5,9999,6,1,2,1
18,2017,1,18,4,3,1,7,802,8,99,2,16,2,2,4,2,3,69,6,2007,4,1,2,1
19,2017,1,18,4,3,1,7,802,8,99,1,25,4,4,6,1,3,69,6,2007,4,1,2,1
20,2017,1,18,4,3,1,7,802,8,99,2,22,3,3,5,1,3,69,6,2007,4,1,2,1
21,2017,1,0,1,1,1,7,203,2,99,1,23,3,3,5,1,4,6,3,9999,6,2,2,1
22,2017,1,0,1,1,1,7,203,2,99,2,46,8,8,10,1,4,6,3,9999,6,2,2,1
23,2017,1,14,3,2,1,7,1703,17,99,1,23,3,3,5,1,4,27,5,9999,6,1,2,1
24,2017,1,8,2,1,1,7,1710,17,99,1,22,3,3,5,1,4,999,99,9999,6,2,1,2
25,2017,1,10,2,1,1,7,701,7,99,1,23,3,3,5,1,14,6,1,2007,4,1,2,1
26,2017,1,18,4,3,1,7,110,1,99,1,32,5,5,7,1,1,56,5,9999,6,1,2,1
27,2017,1,18,4,3,1,7,110,1,99,1,35,6,6,8,1,1,56,5,9999,6,1,2,1
28,2017,1,15,3,2,1,7,104,1,99,1,22,3,3,5,1,4,6,5,2016,5,1,2,1
29,2017,1,22,4,3,1,7,117,1,99,1,26,4,4,6,1,4,3,5,2016,5,1,2,1
30,2017,1,22,4,3,1,7,117,1,99,2,25,4,4,6,1,4,3,5,2016,5,1,2,1
31,2017,1,12,3,2,1,7,1021,10,99,1,34,5,5,7,1,4,6,1,9999,6,1,2,1
32,2017,1,14,3,2,1,7,1004,10,99,1,36,6,6,8,1,4,6,1,2007,4,1,1,2
33,2017,1,14,3,2,1,7,1004,10,99,1,2,1,1,1,2,4,6,1,2007,4,1,2,1
