num_hecho,dia_ocu,mes_ocu,año_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,sexo_pil,edad_pil,g_edad_pil,estado_pil,tipo_vehi,color_vehi,modelo_vehi,causa_acc
1449,13,5,9,3,1,14,1,9,999,99,2,3,2,1988,2
1587,1,7,9,1,15,22,2,2,13,2,1,4,4,9999,2
679,1,3,9,7,17,17,2,1,14,2,1,4,99,9999,4
633,26,2,9,4,18,21,2,1,15,2,9,1,1,9999,4
673,1,3,9,7,15,10,1,1,15,2,9,14,1,2007,2
1046,5,4,9,7,14,18,1,1,15,2,9,14,1,9999,4
946,26,3,9,4,8,12,2,1,15,2,1,3,6,9999,2
1815,27,6,9,6,11,15,2,1,15,2,1,3,1,9999,2
1163,14,4,9,2,14,15,2,1,15,2,1,3,2,9999,3
935,25,3,9,3,9,12,2,1,15,2,1,3,3,9999,4
2794,1,10,9,4,20,14,2,1,15,2,1,4,99,9999,1
678,1,3,9,7,11,17,2,1,15,2,1,4,99,9999,4
583,22,2,9,7,23,1,1,1,16,2,9,1,1,9999,2
2940,18,10,9,7,15,20,2,2,16,2,9,3,1,9999,4
2631,11,9,9,5,19,14,1,2,16,2,9,4,5,2008,1
2397,15,8,9,6,20,20,2,1,16,2,9,4,1,9999,1
2979,23,10,9,5,11,13,2,1,16,2,9,4,99,9999,1
3500,28,12,9,1,16,1,1,1,16,2,9,4,5,9999,1
513,15,2,9,7,18,14,1,1,16,2,9,4,3,9999,4
2754,27,9,9,7,14,17,2,1,16,2,9,4,99,9999,4
617,23,2,9,1,20,3,2,1,16,2,9,14,4,9999,2
2547,30,8,9,7,21,4,1,1,16,2,2,1,1,9999,1
3388,19,12,9,6,23,1,1,1,16,2,2,4,5,9999,1
2017,20,7,9,1,16,22,2,1,16,2,2,4,5,2007,4
77,9,1,9,5,10,6,1,1,16,2,1,2,2,1988,1
1752,20,6,9,6,17,10,2,1,16,2,1,2,2,9999,1
297,29,1,9,4,13,12,2,1,16,2,1,3,99,1984,1
1164,15,4,9,3,9,13,2,1,16,2,1,9,2,2007,1
1952,12,7,9,7,11,12,1,1,16,2,1,9,2,2007,1
287,28,1,9,3,20,1,1,1,16,2,1,12,1,1990,2
1040,5,4,9,7,3,1,2,1,17,2,9,1,2,9999,2
3471,25,12,9,5,23,5,2,2,17,2,9,1,11,9999,2
904,22,3,9,7,19,22,2,1,17,2,9,1,3,9999,3
1051,6,4,9,1,0,20,2,1,17,2,9,3,2,9999,4
1200,19,4,9,7,0,19,1,1,17,2,9,4,5,1991,1
3096,6,11,9,5,18,1,1,1,17,2,9,4,3,2008,1
1171,16,4,9,4,0,13,2,1,17,2,9,4,1,9999,1
2980,23,10,9,5,23,17,1,1,17,2,9,4,9,9999,1
