num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,muni_ocu,areag_ocu,zona_ocu,sexo_pil,edad_pil,g_edad_pil,edad_m1,estado_pil,tipo_vehiculo,marca_vehi,color_vehi,modelo_vehi,causa_acc
200,27,6,1,17,1,1,2,10,1,42,7,1,1,1,1,4,2001,1
128,18,9,7,0,1,8,2,7,1,25,4,1,2,1,1,4,9999,2
28,5,10,3,19,9,1,1,99,1,26,4,1,2,1,1,1,9999,1
108,15,2,2,12,18,4,1,99,1,59,10,1,9,2,10,99,1997,1
126,17,6,5,18,1,1,2,11,2,25,4,1,1,2,10,5,2000,1
79,10,8,3,22,1,1,2,11,1,24,3,1,1,4,10,3,9999,2
11,3,9,6,7,1,8,2,8,2,35,6,1,9,4,10,3,9999,2
113,18,10,2,14,1,1,2,17,1,22,3,1,9,4,10,1,9999,1
119,20,10,4,21,1,1,2,12,1,26,4,1,1,4,10,1,9999,1
217,26,11,6,0,1,1,1,10,1,19,2,1,1,4,10,5,9999,3
231,28,12,3,1,16,1,1,1,1,24,3,1,2,8,10,3,1970,2
251,31,1,1,21,8,5,1,99,1,39,6,1,9,3,11,99,1982,1
253,31,1,1,22,14,1,2,1,1,29,4,1,2,9,11,4,2000,2
82,10,2,4,5,1,1,2,10,1,999,99,1,9,3,11,2,1999,1
131,22,4,5,0,2,1,1,99,1,29,4,1,2,2,11,9,9999,1
216,27,5,5,19,18,1,2,99,1,31,5,1,9,9,11,16,1997,1
151,24,7,7,23,1,1,2,1,2,20,3,1,9,9,11,3,2000,1
63,7,8,7,12,9,1,2,1,1,999,99,1,1,3,11,2,9999,1
139,20,8,6,5,1,1,2,14,1,53,9,1,9,3,11,4,2000,1
182,27,8,6,18,1,1,2,5,2,26,4,1,1,3,11,4,2003,1
158,22,9,4,16,10,6,1,99,1,49,8,1,1,3,11,4,9999,2
20,4,10,2,10,1,1,2,10,1,48,8,1,2,9,11,8,1992,1
31,4,11,5,21,1,1,2,12,1,36,6,1,9,9,11,7,9999,2
50,6,12,2,5,15,2,2,99,1,999,11,1,1,3,11,9,9999,3
157,20,12,2,21,1,8,1,6,1,50,9,1,2,1,11,7,2000,1
190,23,12,5,16,20,1,2,99,1,20,3,1,1,3,11,1,9999,1
74,10,1,1,12,10,1,2,1,1,33,5,1,9,1,12,2,2002,1
172,25,3,5,14,1,1,2,1,1,36,6,1,9,2,12,2,9999,1
19,4,5,3,9,1,10,1,99,1,34,5,1,9,3,12,4,9999,1
42,6,7,3,21,1,1,2,6,9,999,99,9,9,1,12,4,1989,1
27,2,1,7,20,22,12,1,99,2,48,8,1,1,2,13,14,2007,1
43,4,1,2,10,2,7,1,99,1,44,7,1,1,2,13,4,9999,1
54,7,1,5,12,1,1,2,9,1,37,6,1,9,12,13,8,1982,1
125,16,1,7,8,6,2,1,99,1,43,7,1,2,3,13,4,2001,1
145,19,1,3,19,1,1,2,14,1,30,5,1,2,3,13,4,2003,1
159,20,1,4,12,1,2,2,99,2,18,2,1,1,1,13,3,2009,1
213,27,1,4,21,3,4,1,99,1,28,4,1,9,5,13,2,9999,1
241,31,1,1,0,1,1,2,12,1,69,10,1,2,3,13,4,2002,1
33,5,2,6,9,1,14,1,99,1,40,7,1,2,3,13,3,2003,1
7,1,3,2,11,14,9,1,99,1,47,8,1,9,5,13,2,1998,1
21,4,3,5,15,1,15,1,99,9,999,99,9,9,7,13,1,9999,1
104,13,3,7,14,7,1,1,99,9,999,99,9,9,7,13,7,9999,3
115,15,3,2,12,22,1,1,99,9,999,99,9,9,3,13,6,9999,3
130,18,3,5,18,5,1,1,99,1,25,4,1,1,3,13,2,2001,1
217,31,3,4,22,1,1,2,16,1,23,3,1,1,3,13,11,2006,1
16,4,4,1,6,1,10,1,99,1,52,9,1,9,7,13,1,9999,1
91,16,4,6,20,20,1,1,99,1,29,4,1,2,3,13,11,9999,1
126,21,4,4,8,14,1,1,99,9,999,99,9,9,5,13,7,9999,3
