num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,mupio_ocu,areag_ocu,zona_ocu,sexo_pil,edad_pil,g_edad,edad_m1,condicion_pil,tipo_vehi,color_vehi,causa_acc
1,1,1,7,12,1,101,1,3,1,40,7,1,1,1,6,1
2,1,1,7,17,1,101,1,18,1,44,7,1,2,1,2,1
3,1,1,7,10,1,102,2,99,1,52,9,1,1,3,2,2
4,1,1,7,17,1,101,1,11,2,35,6,1,1,1,2,1
5,1,1,7,9,1,108,1,6,1,19,2,1,2,4,2,1
6,1,1,7,12,1,108,2,1,1,40,7,1,2,12,1,3
7,1,1,7,11,1,110,2,99,1,43,7,1,1,4,1,2
8,1,1,7,10,22,2215,2,99,1,31,5,1,1,3,1,2
9,1,1,7,16,21,2103,2,99,1,42,7,1,2,3,4,1
10,1,1,7,2,20,2007,2,99,1,45,8,1,2,1,9,1
11,1,1,7,0,19,1901,2,99,1,33,5,1,2,3,6,3
12,1,1,7,19,19,1903,2,99,1,999,11,1,2,2,11,2
13,1,1,7,22,19,1903,2,99,1,38,6,1,1,3,3,1
14,1,1,7,17,5,501,2,99,1,35,6,1,2,3,7,3
15,1,1,7,11,5,501,2,99,1,999,11,1,1,3,99,3
16,1,1,7,12,10,1002,2,99,1,76,10,1,1,3,99,3
17,1,1,7,11,11,1102,2,99,1,27,4,1,2,3,4,1
18,1,1,7,19,9,918,2,99,1,28,4,1,2,3,5,1
19,1,1,7,14,12,1203,2,99,1,29,4,1,2,3,1,1
20,1,1,7,4,13,1301,2,99,1,29,4,1,1,3,5,3
21,1,1,7,15,13,1301,2,99,9,999,11,9,9,2,99,1
22,1,1,7,6,13,1301,2,99,1,29,4,1,2,3,5,3
23,1,1,7,13,15,1507,2,99,1,26,4,1,2,4,5,2
24,1,1,7,17,2,201,2,99,1,27,4,1,2,14,1,3
25,1,1,7,2,18,1801,2,99,9,999,11,1,9,4,1,1
26,1,1,7,2,17,1712,2,99,1,46,8,1,1,3,99,3
27,1,1,7,14,7,701,2,99,9,999,11,1,9,3,1,2
28,2,1,1,22,1,101,1,3,1,38,6,1,1,1,2,1
29,2,1,1,22,1,113,2,99,9,999,11,1,1,3,1,1
30,2,1,1,13,1,108,1,3,1,33,5,1,2,1,6,1
31,2,1,1,22,1,108,1,4,1,30,5,1,1,4,1,3
32,2,1,1,10,20,2010,2,99,9,999,11,1,9,3,99,3
33,2,1,1,17,6,601,2,99,1,32,5,1,1,3,4,1
34,2,1,1,22,10,1001,2,99,1,45,8,1,2,1,14,1
35,2,1,1,7,10,1001,1,1,1,22,3,1,9,4,1,2
36,2,1,1,21,15,1502,2,99,1,38,6,1,1,3,9,3
37,2,1,1,22,2,206,2,99,9,999,11,9,9,3,99,2
38,2,1,1,11,7,701,2,99,1,58,10,1,1,9,6,1
39,2,1,1,16,7,710,2,99,1,56,10,1,1,3,9,1
40,3,1,2,19,1,105,2,99,1,24,3,1,1,4,1,3
41,3,1,2,6,1,113,2,99,1,25,4,1,9,6,11,1
42,3,1,2,18,1,101,1,10,1,53,9,1,1,1,1,1
43,3,1,2,9,10,1020,2,99,1,76,10,1,1,5,99,1
44,3,1,2,8,14,1405,2,99,1,36,6,1,1,9,6,1
45,3,1,2,15,14,1401,2,99,1,29,4,1,1,2,2,2
46,3,1,2,9,10,1020,2,99,1,31,5,1,1,3,2,1
47,4,1,3,16,1,115,2,99,1,37,6,1,1,5,3,1
48,4,1,3,10,1,115,2,99,1,44,7,1,1,3,6,2
49,4,1,3,19,5,501,1,1,1,25,4,1,1,3,1,1
50,5,1,4,18,1,101,1,6,1,38,6,1,1,8,2,1
51,5,1,4,21,1,102,2,99,1,20,3,1,2,1,2,1
52,5,1,4,9,1,115,1,12,1,36,6,1,1,3,16,1
53,5,1,4,18,18,1801,2,99,1,40,7,1,1,4,99,1
54,6,1,5,20,5,501,2,99,9,999,11,9,9,6,2,1
55,6,1,5,11,14,1401,2,99,9,999,11,9,9,14,1,4
56,7,1,6,21,1,101,1,1,1,31,5,1,1,2,2,1
57,7,1,6,22,1,101,1,17,1,25,4,1,1,1,2,1
58,7,1,6,18,22,2201,2,99,1,36,6,1,9,4,1,1
59,7,1,6,20,6,602,2,99,1,56,10,1,9,5,2,1
60,7,1,6,11,11,1101,2,99,1,32,5,1,9,4,1,1
61,7,1,6,22,9,901,2,99,1,21,3,1,2,9,1,1
62,7,1,6,1,15,1501,2,99,1,999,11,1,1,1,3,2
63,7,1,6,13,2,201,2,99,1,60,10,1,1,1,6,2
64,7,1,6,12,3,301,2,99,1,32,5,1,1,1,4,1
65,8,1,7,21,5,502,2,99,1,25,4,1,1,4,99,1
66,8,1,7,1,13,1301,2,99,1,49,8,1,2,3,99,2
67,8,1,7,1,1,101,1,12,1,23,3,1,9,1,99,2
68,8,1,7,16,17,1704,1,99,1,28,4,1,9,4,99,2
69,8,1,7,1,1,108,1,7,1,29,4,1,9,1,4,1
70,9,1,1,0,1,102,2,99,1,22,3,1,9,4,99,3
71,9,1,1,15,1,117,1,9,1,36,6,1,9,3,1,1
72,9,1,1,16,9,909,2,99,1,39,6,1,2,5,2,1
73,9,1,1,11,13,1304,2,99,1,999,11,9,9,3,99,3
74,9,1,1,20,8,803,2,99,1,44,7,1,2,3,4,1
75,9,1,1,7,7,718,2,99,1,34,5,1,1,5,14,3
76,9,1,1,5,4,409,2,99,9,999,11,1,9,7,6,3
77,9,1,1,7,4,406,2,99,9,999,11,1,9,7,6,3
78,9,1,1,15,3,306,2,99,1,27,4,1,2,3,5,2
79,9,1,1,11,3,308,2,99,1,999,11,9,9,1,2,3
80,10,1,2,20,9,920,2,99,1,32,5,1,1,4,8,1
81,10,1,2,12,9,901,1,1,1,24,3,1,1,1,6,1
82,10,1,2,1,9,903,2,99,9,999,11,9,9,12,1,1
83,10,1,2,19,12,1202,2,99,1,31,5,1,2,9,5,2
84,11,1,3,9,1,115,2,4,1,23,3,1,1,4,5,1
85,11,1,3,11,5,502,2,99,1,31,5,1,1,16,99,3
86,11,1,3,17,5,511,2,99,9,999,11,1,1,5,99,1
87,11,1,3,18,5,511,2,99,1,999,11,1,1,7,6,3
88,11,1,3,18,9,901,2,2,1,35,6,1,1,3,2,1
89,11,1,3,20,8,803,1,1,9,999,11,9,1,3,99,1
90,12,1,4,0,1,101,1,3,1,999,11,1,1,3,5,1
91,12,1,4,5,1,101,1,6,9,999,11,9,9,1,3,2
92,12,1,4,21,1,117,1,99,1,23,3,1,1,1,3,1
93,12,1,4,18,21,2102,2,99,1,19,2,1,2,4,1,2
94,12,1,4,8,20,2007,2,99,1,51,9,1,1,1,9,1
95,12,1,4,8,5,502,2,99,1,24,3,1,1,5,2,2
96,12,1,4,20,9,920,2,99,1,36,6,1,1,7,2,1
97,12,1,4,10,12,1202,2,99,9,999,11,9,9,3,4,3
98,12,1,4,9,16,1611,2,99,1,26,4,1,1,4,99,1
99,12,1,4,15,14,1402,1,99,9,999,11,9,9,9,6,3
100,13,1,6,4,1,101,2,11,1,22,3,1,2,1,2,2
101,13,1,6,17,21,2106,1,99,1,22,3,1,1,4,3,1
102,13,1,6,23,19,1904,1,99,1,31,5,1,9,3,4,2
103,13,1,6,20,5,501,1,99,1,13,1,2,9,4,3,1
104,14,1,7,3,1,101,1,1,1,35,6,1,9,1,2,1
105,14,1,7,17,1,101,1,18,1,27,4,1,9,4,5,1
106,14,1,7,1,1,101,1,21,9,999,11,9,9,4,5,1
107,14,1,7,7,5,501,2,99,1,38,6,1,9,6,1,1
108,14,1,7,17,5,506,2,99,1,37,6,1,9,3,6,3
109,14,1,7,19,10,1001,2,99,1,20,3,1,9,14,1,1
110,14,1,7,1,4,409,2,99,1,45,8,1,9,3,2,1
111,15,1,7,9,22,2201,2,99,1,32,5,1,9,3,2,1
112,15,1,7,16,22,2201,2,99,1,50,9,1,2,1,2,1
113,15,1,7,19,21,2101,2,99,1,54,9,1,2,2,9,2
114,15,1,7,8,5,506,2,99,1,18,2,1,9,3,1,3
115,15,1,7,13,5,501,2,99,1,26,4,1,1,3,3,3
116,15,1,7,20,6,604,2,99,1,28,4,1,1,4,5,1
117,15,1,7,17,10,1001,2,99,1,28,4,1,9,4,2,3
118,15,1,7,3,11,1101,2,99,1,23,3,1,2,4,14,3
119,15,1,7,22,15,1501,2,99,1,16,2,2,1,4,1,1
120,15,1,7,18,18,1801,2,99,1,46,8,1,2,4,3,4
121,15,1,7,22,17,1701,2,99,1,17,2,2,1,3,6,2
122,16,1,1,3,1,102,2,99,1,19,2,1,1,1,3,1
123,16,1,1,3,20,2001,2,99,1,26,4,1,1,4,1,1
124,16,1,1,21,11,1101,2,99,1,28,4,1,2,14,1,1
125,16,1,1,14,2,201,2,99,1,36,6,1,1,3,3,1
126,16,1,1,22,17,1701,2,99,1,25,4,1,2,4,1,1
127,17,1,2,21,1,101,1,1,1,22,3,1,1,3,4,1
128,17,1,2,21,1,101,1,3,1,35,6,1,1,3,6,1
129,17,1,3,16,1,101,1,1,1,50,9,1,1,1,7,1
