núm_corre,día_ocu,año_ocu,hora_ocu,mes_ocu,día_sem_ocu,mupio_ocu,depto_ocu,área_geo_ocu,zona_ocu,tipo_veh,marca_veh,color_veh,modelo_veh,tipo_eve,g_hora,g_hora_5,g_modelo_veh
1,1,2016,2,1,5,101,1,1,1,2,69,9,9999,1,1,1,6
2,1,2016,2,1,5,101,1,1,18,1,48,5,1994,1,1,1,3
3,1,2016,13,1,5,101,1,1,18,1,999,9,9999,1,3,2,6
5,1,2016,12,1,5,106,1,2,99,4,3,3,2006,1,3,2,4
6,1,2016,12,1,5,109,1,1,99,2,41,9,2003,1,3,2,4
7,1,2016,5,1,5,109,1,2,99,1,69,6,2000,1,1,1,4
8,1,2016,2,1,5,109,1,2,99,1,999,99,9999,1,1,1,6
9,1,2016,10,1,5,2201,22,2,99,99,999,99,9999,1,2,1,6
10,1,2016,17,1,5,2007,20,2,99,4,999,99,9999,1,3,2,6
11,1,2016,20,1,5,1905,19,2,99,99,999,99,9999,1,4,3,6
13,1,2016,12,1,5,1101,11,2,99,3,69,1,1987,1,3,2,2
14,1,2016,22,1,5,917,9,2,99,3,999,99,1993,1,4,3,3
15,1,2016,6,1,5,911,9,2,99,3,69,4,1994,1,2,1,3
16,1,2016,14,1,5,920,9,2,99,3,999,99,9999,1,3,2,6
17,1,2016,21,1,5,901,9,2,99,1,27,2,1999,1,4,3,3
18,1,2016,19,1,5,1219,12,2,99,3,69,5,1983,1,4,3,2
19,1,2016,2,1,5,1301,13,1,99,3,31,99,1991,1,1,1,3
20,1,2016,22,1,5,1601,16,2,99,2,69,3,9999,1,4,3,6
21,1,2016,23,1,5,1801,18,2,99,2,69,1,1989,1,4,3,2
22,1,2016,12,1,5,401,4,2,99,11,999,99,9999,1,3,2,6
23,2,2016,2,1,6,101,1,1,1,14,48,3,2004,1,1,1,4
24,2,2016,21,1,6,101,1,2,1,1,27,3,1991,1,4,3,3
26,2,2016,14,1,6,1904,19,2,99,6,19,5,2001,1,3,2,4
27,2,2016,16,1,6,1905,19,2,99,5,69,2,2004,1,3,2,4
28,2,2016,19,1,6,1903,19,2,99,1,999,99,9999,1,4,3,6
29,2,2016,18,1,6,1904,19,2,99,2,69,4,9999,1,4,3,6
30,2,2016,6,1,6,508,5,2,99,3,69,99,1996,1,2,1,3
31,2,2016,16,1,6,501,5,2,99,4,999,99,9999,1,3,2,6
32,2,2016,23,1,6,1301,13,2,99,4,77,8,9999,1,4,3,6
33,2,2016,14,1,6,1508,15,2,99,9,999,2,9999,1,3,2,6
34,2,2016,15,1,6,1409,14,2,99,5,999,99,9999,1,3,2,6
35,2,2016,10,1,6,705,7,2,99,5,52,2,2001,1,2,1,4
37,2,2016,23,1,6,401,4,2,99,1,69,11,2006,1,4,3,4
38,2,2016,20,1,6,314,3,2,99,14,80,99,2008,1,4,3,4
39,3,2016,22,1,7,101,1,1,6,2,48,3,9999,1,4,3,6
40,3,2016,2,1,7,101,1,1,11,1,52,3,9999,1,1,1,6
41,3,2016,20,1,7,117,1,1,99,99,999,99,9999,1,4,3,6
43,3,2016,6,1,7,2101,21,2,99,3,69,7,1998,1,2,1,3
44,3,2016,14,1,7,2009,20,2,99,3,69,1,2001,1,3,2,4
46,3,2016,19,1,7,1901,19,2,99,1,41,4,9999,1,4,3,6
47,3,2016,21,1,7,1901,19,2,99,4,999,99,9999,1,4,3,6
48,3,2016,1,1,7,201,2,2,99,6,19,2,2005,1,1,1,4
54,3,2016,17,1,7,403,4,2,99,2,14,6,1980,1,3,2,2
55,3,2016,20,1,7,306,3,2,99,99,999,99,9999,1,4,3,6
56,4,2016,6,1,1,501,5,2,99,4,6,5,9999,1,2,1,6
57,4,2016,20,1,1,801,8,2,99,3,69,99,9999,1,4,3,6
58,4,2016,15,1,1,1804,18,2,99,2,27,9,9999,1,3,2,6
59,4,2016,21,1,1,1401,14,2,99,2,86,5,9999,1,4,3,6
60,4,2016,22,1,1,312,3,2,99,3,69,2,9999,1,4,3,6
62,5,2016,14,1,2,1911,19,2,99,4,999,99,9999,1,3,2,6
64,5,2016,9,1,2,501,5,2,99,99,999,99,9999,1,2,1,6
65,5,2016,19,1,2,1230,12,2,99,99,999,99,9999,1,4,3,6
66,5,2016,17,1,2,1201,12,2,99,99,999,99,9999,1,3,2,6
68,5,2016,1,1,2,1301,13,2,99,1,48,4,9999,1,1,1,6
69,5,2016,19,1,2,801,8,2,99,4,76,5,9999,1,4,3,6
71,6,2016,23,1,3,101,1,1,7,1,999,5,2002,1,4,3,4
72,6,2016,22,1,3,112,1,1,99,3,48,5,1994,1,4,3,3
73,6,2016,19,1,3,1901,19,2,99,2,69,99,9999,1,4,3,6
74,6,2016,18,1,3,501,5,2,99,16,56,1,9999,1,4,3,6
75,6,2016,19,1,3,1102,11,2,99,6,30,99,9999,1,4,3,6
76,6,2016,7,1,3,917,9,2,99,9,56,1,2011,1,2,1,5
77,7,2016,8,1,4,101,1,1,9,2,27,4,2004,1,2,1,4
78,7,2016,6,1,4,101,1,1,18,6,999,3,2013,1,2,1,5
80,7,2016,16,1,4,109,1,1,99,5,26,2,2016,1,3,2,5
81,7,2016,21,1,4,501,5,2,99,3,69,99,9999,1,4,3,6
82,7,2016,20,1,4,501,5,2,99,4,999,99,9999,1,4,3,6
85,7,2016,8,1,4,403,4,2,99,3,69,9,1989,1,2,1,2
86,8,2016,11,1,5,105,1,2,99,1,52,4,2002,1,2,1,4
88,8,2016,17,1,5,101,1,1,18,4,67,99,2000,1,3,2,4
89,8,2016,14,1,5,117,1,1,99,4,999,99,9999,1,3,2,6
91,8,2016,19,1,5,1901,19,2,99,12,50,2,9999,1,4,3,6
92,8,2016,12,1,5,1903,19,2,99,1,999,99,9999,1,3,2,6
93,8,2016,14,1,5,502,5,2,99,6,999,99,9999,1,3,2,6
94,8,2016,20,1,5,1003,10,1,99,14,999,1,9999,1,4,3,6
96,8,2016,18,1,5,203,2,2,99,2,56,5,9999,1,4,3,6
98,8,2016,13,1,5,1415,14,1,99,5,999,2,9999,1,3,2,6
99,9,2016,0,1,6,101,1,1,1,1,69,4,2006,1,1,1,4
100,9,2016,13,1,6,101,1,1,9,9,69,4,1991,1,3,2,3
102,9,2016,2,1,6,101,1,1,6,1,48,1,9999,1,1,1,6
103,9,2016,21,1,6,101,1,1,5,4,27,1,9999,1,4,3,6
104,9,2016,23,1,6,101,1,1,7,12,999,1,9999,1,4,3,6
105,9,2016,23,1,6,112,1,2,99,4,25,6,2015,1,4,3,5
106,9,2016,7,1,6,112,1,2,99,4,999,1,2015,1,2,1,5
108,9,2016,21,1,6,602,6,2,99,5,17,2,1995,1,4,3,3
109,9,2016,0,1,6,1001,10,1,99,4,67,1,9999,1,1,1,6
110,9,2016,17,1,6,922,9,2,99,3,69,2,2010,1,3,2,5
111,9,2016,3,1,6,1217,12,2,99,4,27,5,2006,1,1,1,4
113,9,2016,16,1,6,1302,13,2,99,3,69,1,1989,1,3,2,2
115,9,2016,18,1,6,308,3,2,99,2,67,2,1988,1,4,3,2
117,10,2016,3,1,7,101,1,1,21,1,28,1,2009,1,1,1,4
118,10,2016,2,1,7,101,1,1,11,4,6,1,9999,1,1,1,6
119,10,2016,19,1,7,101,1,1,11,1,69,3,9999,1,4,3,6
123,10,2016,20,1,7,2201,22,1,99,2,69,4,2012,1,4,3,5
125,10,2016,22,1,7,509,5,1,99,1,69,2,2003,1,4,3,4
126,10,2016,14,1,7,1201,12,1,99,10,69,6,1995,1,3,2,3
127,10,2016,11,1,7,1301,13,1,99,3,69,2,9999,1,2,1,6
130,10,2016,1,1,7,1701,17,2,99,4,18,5,9999,1,1,1,6
132,10,2016,0,1,7,303,3,2,99,5,999,2,9999,1,1,1,6
133,11,2016,17,1,1,509,5,1,99,12,999,99,9999,1,3,2,6
134,11,2016,17,1,1,601,6,2,99,1,41,4,1997,1,3,2,3
135,11,2016,17,1,1,901,9,1,99,1,69,4,9999,1,3,2,6
136,11,2016,18,1,1,1604,16,2,99,1,69,11,1994,1,4,3,3
137,11,2016,19,1,1,301,3,2,99,3,48,4,1999,1,4,3,3
138,12,2016,7,1,2,101,1,2,1,3,69,9,1993,1,2,1,3
140,12,2016,22,1,2,101,1,1,13,1,999,99,9999,1,4,3,6
142,12,2016,18,1,2,2001,20,1,99,2,31,2,1990,1,4,3,3
143,12,2016,22,1,2,501,5,2,99,4,76,99,9999,1,4,3,6
144,12,2016,11,1,2,1021,10,2,99,5,26,2,9999,1,2,1,6
146,12,2016,15,1,2,1604,16,2,99,3,69,1,1990,1,3,2,3
147,12,2016,16,1,2,205,2,2,99,3,69,10,9999,1,3,2,6
148,13,2016,23,1,3,101,1,1,9,1,107,7,1995,1,4,3,3
150,13,2016,22,1,3,107,1,2,99,99,999,99,9999,1,4,3,6
152,13,2016,17,1,3,1210,12,2,99,9,85,2,2007,1,3,2,4
153,13,2016,3,1,3,201,2,2,99,6,19,11,2000,1,1,1,4
154,13,2016,11,1,3,312,3,1,99,1,52,2,2002,1,2,1,4
155,14,2016,20,1,4,101,1,1,11,5,17,1,1989,1,4,3,2
156,14,2016,2,1,4,117,1,1,99,1,69,3,1999,1,1,1,3
157,14,2016,21,1,4,1901,19,1,99,4,67,5,2015,1,4,3,5
158,14,2016,16,1,4,513,5,2,99,4,6,9,9999,1,3,2,6
159,14,2016,20,1,4,513,5,2,99,1,48,4,9999,1,4,3,6
160,14,2016,12,1,4,601,6,2,99,2,69,2,2006,1,3,2,4
162,14,2016,22,1,4,1712,17,1,99,3,69,1,1987,1,4,3,2
163,14,2016,17,1,4,1412,14,1,99,4,999,1,9999,1,3,2,6
164,14,2016,20,1,4,701,7,1,99,1,999,4,2001,1,4,3,4
165,14,2016,12,1,4,401,4,1,99,14,6,1,2013,1,3,2,5
166,15,2016,1,1,5,101,1,1,11,1,999,4,2011,1,1,1,5
167,15,2016,18,1,5,117,1,1,99,4,999,99,9999,1,4,3,6
168,15,2016,23,1,5,2212,22,2,99,1,27,4,9999,1,4,3,6
169,15,2016,23,1,5,1901,19,1,99,1,28,4,2003,1,4,3,4
170,15,2016,20,1,5,513,5,2,99,3,48,4,2008,1,4,3,4
172,15,2016,22,1,5,1003,10,2,99,3,48,2,2006,1,4,3,4
173,15,2016,7,1,5,1107,11,2,99,4,6,5,9999,1,2,1,6
177,15,2016,20,1,5,1801,18,2,99,2,69,11,2009,1,4,3,4
178,15,2016,13,1,5,1712,17,1,99,4,54,5,9999,1,3,2,6
179,15,2016,20,1,5,1714,17,2,99,1,69,4,2001,1,4,3,4
182,15,2016,23,1,5,707,7,2,99,3,69,4,9999,1,4,3,6
183,15,2016,14,1,5,410,4,2,99,1,10,4,2004,1,3,2,4
185,16,2016,11,1,6,101,1,1,9,3,56,4,2003,1,2,1,4
188,16,2016,17,1,6,101,1,1,12,4,3,5,9999,1,3,2,6
189,16,2016,7,1,6,109,1,1,99,1,56,2,9999,1,2,1,6
191,16,2016,8,1,6,501,5,1,99,4,999,99,9999,1,2,1,6
192,16,2016,20,1,6,1001,10,2,99,5,26,2,9999,1,4,3,6
193,16,2016,1,1,6,1001,10,1,99,4,999,99,9999,1,1,1,6
194,16,2016,11,1,6,1101,11,2,99,14,6,1,9999,1,2,1,6
195,16,2016,17,1,6,1101,11,1,99,4,56,6,2000,1,3,2,4
197,16,2016,1,1,6,1703,17,2,99,3,69,2,1986,1,1,1,2
198,16,2016,15,1,6,1703,17,2,99,4,32,4,9999,1,3,2,6
199,16,2016,1,1,6,1712,17,2,99,4,67,1,9999,1,1,1,6
201,17,2016,13,1,7,101,1,1,1,1,28,2,2002,1,3,2,4
202,17,2016,1,1,7,101,1,1,18,5,28,6,2000,1,1,1,4
204,17,2016,23,1,7,109,1,1,99,3,69,2,2000,1,4,3,4
205,17,2016,0,1,7,101,1,1,7,4,999,1,9999,1,1,1,6
208,17,2016,18,1,7,113,1,2,99,99,999,99,9999,1,4,3,6
209,17,2016,15,1,7,101,1,1,19,1,48,9,2005,1,3,2,4
210,17,2016,19,1,7,2001,20,2,99,9,69,6,2004,1,4,3,4
212,17,2016,20,1,7,1902,19,2,99,3,69,1,9999,1,4,3,6
213,17,2016,15,1,7,1201,12,2,99,2,999,3,9999,1,3,2,6
214,17,2016,9,1,7,1301,13,1,99,12,999,7,9999,1,2,1,6
216,17,2016,18,1,7,710,7,2,99,1,51,3,9999,1,4,3,6
217,17,2016,20,1,7,414,4,2,99,1,48,6,2004,1,4,3,4
218,18,2016,22,1,1,101,1,1,18,6,999,2,9999,1,4,3,6
219,18,2016,20,1,1,101,1,1,21,1,28,2,2014,1,4,3,5
220,18,2016,14,1,1,101,1,1,7,4,59,2,2007,1,3,2,4
221,18,2016,21,1,1,101,1,1,11,1,28,99,9999,1,4,3,6
223,18,2016,17,1,1,2212,22,2,99,2,999,1,9999,1,3,2,6
225,18,2016,15,1,1,1904,19,2,99,1,52,99,2015,1,3,2,5
226,18,2016,8,1,1,1010,10,2,99,99,999,99,9999,1,2,1,6
227,18,2016,16,1,1,1101,11,2,99,1,48,6,9999,1,3,2,6
229,18,2016,9,1,1,1603,16,2,99,5,50,1,1985,1,2,1,2
230,18,2016,17,1,1,208,2,2,99,1,28,2,2016,1,3,2,5
231,18,2016,15,1,1,1401,14,2,99,9,999,99,9999,1,3,2,6
232,19,2016,23,1,2,101,1,1,5,2,41,9,2004,1,4,3,4
234,19,2016,17,1,2,1907,19,2,99,2,52,3,2000,1,3,2,4
235,19,2016,6,1,2,511,5,2,99,1,17,4,9999,1,2,1,6
236,19,2016,16,1,2,506,5,2,99,6,40,3,2012,1,3,2,5
237,19,2016,13,1,2,608,6,2,99,4,27,1,9999,1,3,2,6
238,19,2016,8,1,2,1501,15,2,99,3,56,10,2002,1,2,1,4
239,19,2016,15,1,2,401,4,2,99,3,999,99,9999,1,3,2,6
240,20,2016,5,1,3,101,1,1,1,5,26,2,9999,1,1,1,6
241,20,2016,6,1,3,101,1,1,1,4,6,1,2013,1,2,1,5
244,20,2016,6,1,3,2215,22,2,99,3,69,4,1985,1,2,1,2
246,20,2016,18,1,3,2214,22,2,99,1,52,99,9999,1,4,3,6
247,20,2016,17,1,3,2101,21,1,99,1,48,11,9999,1,3,2,6
248,20,2016,19,1,3,1909,19,2,99,99,999,99,9999,1,4,3,6
249,20,2016,13,1,3,608,6,2,99,7,999,3,1987,1,3,2,2
250,20,2016,17,1,3,614,6,2,99,1,10,1,2008,1,3,2,4
251,20,2016,22,1,3,1004,10,2,99,5,999,99,9999,1,4,3,6
