dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,zona_ocu,sexo_pil,edad_pil,estado_pil,tipo_v,color_v,modelo_v,causa_ac
31,1,7,15,2,2,99,9,999,9,5,2,9999,3
29,11,1,22,9,2,99,1,37,1,5,7,9999,3
6,12,1,7,13,2,99,1,55,1,5,99,9999,4
8,8,7,17,16,2,99,1,35,1,3,3,9999,1
9,1,6,20,2,2,99,1,24,9,4,4,9999,1
30,4,5,2,1,1,18,1,22,2,1,4,1994,3
9,12,4,7,7,2,99,9,999,9,5,2,9999,1
31,7,6,8,20,2,99,1,24,1,5,99,9999,1
1,9,3,8,9,2,99,1,50,1,9,3,9999,2
18,9,6,13,1,2,99,1,36,1,2,6,1996,2
12,1,2,23,17,2,99,1,35,9,2,4,9999,1
16,1,6,13,5,2,99,1,35,9,3,9,9999,1
4,12,6,1,1,1,12,1,30,9,1,8,9999,2
15,9,3,3,10,1,99,1,24,9,1,5,9999,2
8,8,7,3,1,1,18,9,999,9,1,99,9999,2
11,12,6,3,1,2,99,1,999,1,4,5,9999,2
25,12,6,4,1,1,7,1,24,9,2,9,1993,2
29,11,1,7,1,2,99,1,30,9,6,99,9999,3
12,2,5,8,18,2,99,1,25,9,1,5,1997,1
9,12,4,8,5,2,99,1,60,9,4,1,2007,1
11,10,1,8,5,2,99,1,41,1,3,2,2009,1
2,6,3,8,1,1,3,1,27,1,7,7,9999,2
13,9,1,8,5,2,99,1,23,9,4,5,2009,1
21,12,2,10,1,2,99,9,999,9,7,6,1990,3
21,3,7,12,17,2,99,1,52,1,5,2,1996,1
7,4,3,15,5,2,99,1,63,1,3,6,9999,1
7,9,2,15,1,1,12,1,33,1,5,2,9999,2
15,11,1,15,1,2,99,1,999,1,6,2,9999,3
19,12,7,16,12,2,99,1,999,9,9,6,9999,3
27,9,1,17,22,2,99,1,26,1,3,5,9999,1
5,7,1,18,4,2,99,1,31,1,1,5,1997,1
14,5,5,18,8,2,99,1,35,1,1,1,9999,1
19,11,5,18,5,2,99,1,40,9,3,11,9999,4
23,2,2,19,1,1,8,1,45,9,1,5,9999,4
18,3,4,19,1,2,99,1,43,9,4,1,9999,2
