num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,mupio_ocu,areag_ocu,zona_ocu,sexo_pil,edad_pil,mayor_menor,tipo_veh,color_veh,modelo_veh,causa_acc,marca_veh,g_edad,estado_pil,grupo_mode_veh
1,1,1,2,3,1,106,1,6,1,32,1,3,99,6,2,99,5,2,6
2,1,1,2,5,1,101,1,11,1,34,1,1,2,5,2,5,5,2,5
3,1,1,2,3,1,108,1,3,1,28,1,1,4,6,1,20,4,2,6
4,1,1,2,3,1,108,1,3,1,43,1,3,6,4,1,44,7,1,4
5,1,1,2,0,19,1901,2,99,1,21,1,4,1,5,2,24,3,1,5
6,1,1,2,18,19,1901,2,99,1,19,1,3,1,6,3,44,2,9,6
7,1,1,2,0,5,502,2,99,1,24,1,4,5,4,2,2,3,1,4
8,1,1,2,11,9,901,2,99,1,36,1,2,5,6,2,44,6,2,6
9,1,1,2,1,12,1217,2,99,1,38,1,5,6,3,1,34,6,1,3
10,1,1,2,1,12,1217,2,99,9,999,1,4,3,6,1,40,11,2,6
11,1,1,2,7,13,1322,2,99,9,999,1,3,99,6,3,44,11,1,6
12,1,1,2,8,16,1604,2,99,1,33,1,5,2,3,2,19,5,2,3
13,1,1,2,3,18,1801,2,99,1,25,1,4,99,6,2,99,4,1,6
14,1,1,2,4,3,301,2,99,2,25,1,4,99,6,2,99,4,1,6
15,1,1,2,2,3,308,2,99,1,22,1,4,5,6,2,99,3,1,6
16,2,1,3,15,1,101,1,1,1,40,1,3,2,4,1,44,7,1,4
17,2,1,3,15,1,101,1,1,1,26,1,4,99,6,1,99,4,1,6
18,2,1,3,7,1,101,1,1,9,999,9,12,6,6,1,99,11,9,6
19,2,1,3,7,1,101,1,1,9,999,9,12,9,3,1,22,11,9,3
20,2,1,3,22,1,101,1,5,1,49,1,10,2,6,1,20,8,1,6
21,2,1,3,22,1,101,1,5,2,45,1,1,3,6,1,44,8,1,6
22,2,1,3,7,5,501,2,99,1,52,1,5,2,3,1,44,9,1,3
23,2,1,3,7,5,501,2,99,1,32,1,4,99,6,1,99,5,1,6
24,2,1,3,10,6,611,2,99,1,35,1,12,99,6,3,99,6,1,6
25,2,1,3,18,13,1301,1,3,1,36,1,4,3,6,1,40,6,2,6
26,2,1,3,18,13,1301,1,3,1,999,9,4,99,6,1,99,11,2,6
27,2,1,3,10,16,1608,2,99,1,42,1,12,7,3,3,13,7,1,3
28,3,1,4,11,1,101,1,10,1,24,1,12,1,6,1,99,3,1,6
29,3,1,4,11,1,101,1,10,1,64,1,12,1,3,1,3,10,1,3
30,3,1,4,21,1,108,1,6,1,39,1,3,2,6,1,34,6,2,6
31,3,1,4,21,1,108,1,6,1,40,1,3,11,6,1,32,7,1,6
32,3,1,4,14,5,501,1,3,1,31,1,5,2,6,1,99,5,1,6
33,3,1,4,14,5,501,1,3,1,22,1,4,99,6,1,99,3,1,6
34,3,1,4,19,9,917,2,99,1,56,1,2,9,6,1,11,10,2,6
35,3,1,4,19,9,917,2,99,1,56,1,4,1,6,1,99,10,2,6
36,3,1,4,20,13,1301,2,99,1,27,1,3,3,6,3,44,4,1,6
37,3,1,4,22,2,203,2,99,1,60,1,9,2,6,1,20,10,1,6
38,3,1,4,22,2,203,2,99,1,30,1,6,4,3,1,15,5,1,3
39,3,1,4,16,7,701,2,99,1,65,1,9,4,6,3,20,10,1,6
40,4,1,5,17,1,101,1,9,1,26,1,1,2,6,1,32,4,2,6
41,4,1,5,17,1,101,1,9,1,22,1,4,5,6,1,42,3,1,6
42,4,1,5,7,1,101,1,18,1,39,1,4,99,6,3,99,6,9,6
43,4,1,5,6,20,2008,2,99,1,47,1,13,7,6,1,99,8,1,6
44,4,1,5,6,20,2008,2,99,1,71,1,1,2,2,1,99,10,1,2
45,4,1,5,15,5,501,2,99,1,42,1,1,4,6,1,21,7,9,6
46,4,1,5,15,5,501,2,99,9,999,9,6,5,6,1,15,11,9,6
47,4,1,5,8,10,1001,1,1,1,41,1,8,2,6,1,42,7,1,6
48,4,1,5,8,10,1001,1,1,1,37,1,4,5,6,1,2,6,1,6
49,4,1,5,20,9,901,1,7,2,39,1,2,4,4,1,42,6,1,4
50,4,1,5,20,9,901,1,7,9,999,9,3,3,2,1,44,11,9,2
