num_correlativo,corre_base,día_ocu,día_sem_ocu,hora_ocu,g_hora,mes_ocu,depto_ocu,mupio_ocu,zona_ocu,área_geo_ocu,sexo_con,edad_con,g_edad,mayor_menor,estado_con,tipo_veh,modelo_veh,color_veh,marca_veh,tipo_eve
1,1,1,3,4,1,1,1,101,7,1,1,20,3,1,9,1,3,5,32,1
2,2,1,3,4,1,1,1,101,7,1,1,21,3,1,9,1,4,99,46,1
3,3,1,3,4,1,1,1,101,7,1,2,21,3,1,9,2,4,11,21,1
4,4,1,3,4,1,1,1,101,7,1,1,30,5,1,9,1,3,1,46,1
5,5,1,3,4,1,1,1,101,7,1,1,26,4,1,9,4,9,7,2,1
6,6,1,3,20,4,1,1,101,1,1,1,18,2,1,9,1,3,2,42,1
7,7,1,3,20,4,1,1,101,1,1,1,27,4,1,9,1,3,12,5,1
8,8,1,3,2,1,1,5,502,1,1,1,21,3,1,9,4,9,3,42,1
9,9,1,3,2,1,1,5,502,1,1,1,16,2,2,9,4,9,5,37,1
10,10,1,3,18,4,1,11,1102,99,2,1,53,9,1,2,2,9,3,23,2
11,11,1,3,1,1,1,16,1601,8,1,1,56,10,1,2,1,9,4,44,1
12,12,1,3,1,1,1,16,1601,8,1,1,32,5,1,1,3,5,5,44,1
13,13,1,3,9,2,1,18,1801,99,1,1,23,3,1,2,1,3,1,21,2
14,14,1,3,18,4,1,4,401,99,2,1,45,8,1,9,1,2,1,37,2
15,15,1,3,22,4,1,17,1703,99,2,9,999,12,9,9,1,9,99,99,1
16,16,1,3,22,4,1,17,1703,99,2,1,20,3,1,9,4,9,99,99,1
17,17,1,3,22,4,1,19,1908,99,2,9,999,12,9,9,1,9,99,99,1
18,18,1,3,2,1,1,5,501,99,1,9,999,12,9,9,99,9,99,99,1
19,19,1,3,2,1,1,5,501,99,1,1,999,12,9,9,4,9,99,42,1
20,20,2,4,19,4,1,17,1703,99,2,1,999,12,9,9,1,9,99,99,1
21,21,2,4,19,4,1,10,1001,99,1,1,20,3,1,9,1,5,4,44,1
22,22,2,4,19,4,1,10,1001,99,1,1,39,6,1,9,9,4,4,44,1
23,23,2,4,17,3,1,1,115,8,1,1,58,10,1,9,3,3,6,5,1
24,24,2,4,17,3,1,11,1101,99,2,1,21,3,1,9,13,9,99,99,1
25,25,2,4,17,3,1,11,1101,99,2,2,63,11,1,9,2,9,6,5,1
26,26,2,4,16,3,1,1,102,99,2,9,999,12,9,9,7,9,99,99,2
27,27,2,4,18,4,1,1,101,5,1,2,30,5,1,9,1,9,4,34,2
28,28,3,5,13,3,1,1,101,5,1,1,26,4,1,9,1,9,6,99,1
29,29,3,5,13,3,1,1,101,5,1,9,999,12,9,9,99,9,5,99,1
30,30,3,5,19,4,1,1,101,12,1,1,27,4,1,9,4,9,99,99,1
31,31,3,5,19,4,1,1,101,12,1,9,999,12,9,9,1,9,99,99,1
32,32,3,5,19,4,1,10,1014,99,1,1,17,2,2,9,4,9,1,99,1
