num_corre,día_ocu,año_ocu,hora_ocu,mes_ocu,día_sem_ocu,mupio_ocu,depto_ocu,área_geo_ocu,sexo_per,zona_ocu,edad_per,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,tipo_eve,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,g_hora,g_hora_5,g_modelo_veh
1,1,2016,2,1,5,101,1,1,1,1,44,1,1,2,69,9,9999,1,7,7,9,1,1,6
2,1,2016,2,1,5,101,1,1,1,1,27,2,1,4,999,9,9999,1,4,4,6,1,1,6
3,1,2016,2,1,5,101,1,1,1,18,33,2,1,1,48,5,1994,1,5,5,7,1,1,3
4,1,2016,2,1,5,101,1,1,1,18,34,1,1,3,69,5,9999,1,5,5,7,1,1,6
5,1,2016,13,1,5,101,1,1,1,18,30,9,1,1,999,9,9999,1,5,5,7,3,2,6
6,1,2016,13,1,5,101,1,1,1,18,20,9,1,1,999,2,9999,1,3,3,5,3,2,6
7,1,2016,10,1,5,106,1,2,2,99,30,1,1,3,52,4,2014,3,5,5,7,2,1,5
8,1,2016,12,1,5,106,1,2,1,99,20,1,1,4,3,3,2006,1,3,3,5,3,2,4
9,1,2016,12,1,5,106,1,2,1,99,33,1,1,14,6,1,2013,1,5,5,7,3,2,5
10,1,2016,12,1,5,109,1,1,1,99,46,1,1,2,41,9,2003,1,8,8,10,3,2,4
11,1,2016,12,1,5,109,1,1,1,99,31,1,1,1,48,6,1993,1,5,5,7,3,2,3
12,1,2016,5,1,5,109,1,2,1,99,30,1,1,1,69,6,2000,1,5,5,7,1,1,4
13,1,2016,5,1,5,109,1,2,1,99,22,1,1,1,48,6,1997,1,3,3,5,1,1,3
14,1,2016,5,1,5,109,1,2,9,99,999,9,9,14,69,2,9999,1,16,12,18,1,1,6
15,1,2016,2,1,5,109,1,2,9,99,999,9,9,1,999,99,9999,1,16,12,18,1,1,6
16,1,2016,2,1,5,109,1,2,2,99,22,9,1,4,999,99,9999,1,3,3,5,1,1,6
17,1,2016,10,1,5,2201,22,2,9,99,999,9,9,99,999,99,9999,1,16,12,18,2,1,6
18,1,2016,10,1,5,2201,22,2,9,99,999,9,9,99,999,99,9999,1,16,12,18,2,1,6
19,1,2016,17,1,5,2007,20,2,1,99,23,9,1,4,999,99,9999,1,3,3,5,3,2,6
20,1,2016,17,1,5,2007,20,2,1,99,999,9,1,3,69,1,9999,1,16,12,18,3,2,6
21,1,2016,20,1,5,1905,19,2,9,99,999,9,9,99,999,99,9999,1,16,12,18,4,3,6
22,1,2016,20,1,5,1905,19,2,1,99,30,1,1,4,999,99,9999,1,5,5,7,4,3,6
23,1,2016,19,1,5,602,6,2,1,99,26,9,1,1,999,99,9999,2,4,4,6,4,3,6
24,1,2016,19,1,5,602,6,2,9,99,999,9,9,4,999,99,9999,2,16,12,18,4,3,6
25,1,2016,12,1,5,1101,11,2,1,99,27,1,1,3,69,1,1987,1,4,4,6,3,2,2
26,1,2016,12,1,5,1101,11,2,1,99,45,1,1,3,69,6,2008,1,8,8,10,3,2,4
27,1,2016,12,1,5,1101,11,2,1,99,41,1,1,14,6,1,9999,1,7,7,9,3,2,6
28,1,2016,22,1,5,917,9,2,1,99,26,2,1,3,999,99,1993,1,4,4,6,4,3,3
29,1,2016,22,1,5,917,9,2,1,99,38,1,1,1,69,2,2001,1,6,6,8,4,3,4
30,1,2016,22,1,5,917,9,2,1,99,25,1,1,1,69,4,2005,1,4,4,6,4,3,4
31,1,2016,6,1,5,911,9,2,1,99,32,2,1,3,69,4,1994,1,5,5,7,2,1,3
32,1,2016,6,1,5,911,9,2,9,99,999,9,9,1,56,4,2006,1,16,12,18,2,1,4
33,1,2016,14,1,5,920,9,2,1,99,42,2,1,3,999,99,9999,1,7,7,9,3,2,6
34,1,2016,14,1,5,920,9,2,1,99,53,1,1,14,69,8,1989,1,9,9,11,3,2,2
35,1,2016,21,1,5,901,9,2,1,99,27,2,1,1,27,2,1999,1,4,4,6,4,3,3
36,1,2016,21,1,5,901,9,2,9,99,999,9,9,3,69,4,1990,1,16,12,18,4,3,3
37,1,2016,19,1,5,1219,12,2,1,99,18,9,1,3,69,5,1983,1,2,2,4,4,3,2
38,1,2016,19,1,5,1219,12,2,1,99,28,9,1,4,999,99,9999,1,4,4,6,4,3,6
39,1,2016,2,1,5,1301,13,1,1,99,999,9,1,3,31,99,1991,1,16,12,18,1,1,3
40,1,2016,2,1,5,1301,13,1,1,99,999,9,1,2,31,99,1996,1,16,12,18,1,1,3
41,1,2016,22,1,5,1601,16,2,1,99,22,2,1,2,69,3,9999,1,3,3,5,4,3,6
42,1,2016,22,1,5,1601,16,2,1,99,45,1,1,2,56,8,1988,1,8,8,10,4,3,2
43,1,2016,23,1,5,1801,18,2,1,99,41,9,1,2,69,1,1989,1,7,7,9,4,3,2
44,1,2016,23,1,5,1801,18,2,1,99,37,9,1,1,69,4,2001,1,6,6,8,4,3,4
45,1,2016,12,1,5,401,4,2,1,99,57,1,1,11,999,99,9999,1,10,10,12,3,2,6
46,1,2016,12,1,5,401,4,2,1,99,999,1,1,4,999,99,9999,1,16,12,18,3,2,6
47,2,2016,2,1,6,101,1,1,1,1,42,1,1,14,48,3,2004,1,7,7,9,1,1,4
48,2,2016,2,1,6,101,1,1,1,1,19,1,1,4,6,3,9999,1,2,2,4,1,1,6
49,2,2016,21,1,6,101,1,2,1,1,29,2,1,1,27,3,1991,1,4,4,6,4,3,3
50,2,2016,21,1,6,101,1,2,1,1,32,2,1,1,27,9,2001,1,5,5,7,4,3,4
51,2,2016,23,1,6,2007,20,2,1,99,23,1,1,4,64,1,2003,2,3,3,5,4,3,4
52,2,2016,14,1,6,1904,19,2,1,99,45,1,1,6,19,5,2001,1,8,8,10,3,2,4
53,2,2016,14,1,6,1904,19,2,2,99,31,1,1,2,27,4,9999,1,5,5,7,3,2,6
54,2,2016,16,1,6,1905,19,2,1,99,32,1,1,5,69,2,2004,1,5,5,7,3,2,4
55,2,2016,16,1,6,1905,19,2,1,99,35,9,1,4,6,5,9999,1,6,6,8,3,2,6
56,2,2016,19,1,6,1903,19,2,1,99,61,1,1,1,999,99,9999,1,11,11,13,4,3,6
57,2,2016,18,1,6,1904,19,2,1,99,29,1,1,2,69,4,9999,1,4,4,6,4,3,6
58,2,2016,18,1,6,1904,19,2,1,99,50,1,1,1,999,4,9999,1,9,9,11,4,3,6
59,2,2016,18,1,6,1904,19,2,1,99,34,1,1,12,999,4,9999,1,5,5,7,4,3,6
60,2,2016,6,1,6,508,5,2,1,99,43,1,1,3,69,99,1996,1,7,7,9,2,1,3
61,2,2016,6,1,6,508,5,2,1,99,999,1,1,5,69,2,1996,1,16,12,18,2,1,3
62,2,2016,16,1,6,501,5,2,1,99,31,1,1,4,999,99,9999,1,5,5,7,3,2,6
63,2,2016,16,1,6,501,5,2,1,99,999,1,1,1,999,99,9999,1,16,12,18,3,2,6
64,2,2016,23,1,6,1301,13,2,1,99,33,2,1,4,77,8,9999,1,5,5,7,4,3,6
65,2,2016,14,1,6,1508,15,2,1,99,33,1,1,9,999,2,9999,1,5,5,7,3,2,6
