,num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,sexo_fall_les,edad_fall_les,g_edad,edad_m1,tipo_vehi,color_vehi,modelo_vehi,causa_acc,fall_les,zona_ocu,year,marca_vehi,muni_ocu
0,6133,29,11,7,6,1,1,1,1,1,2,1,9,9999,2,2,99,2009,99,-1
1,1969,11,4,6,6,22,2,1,1,1,2,7,1,9999,3,2,99,2009,99,-1
2,3927,4,8,2,7,9,2,1,1,1,2,7,6,9999,3,2,99,2009,99,-1
3,4284,4,8,2,7,9,2,1,1,1,2,7,6,9999,3,2,99,2009,99,-1
4,4420,4,8,2,7,9,2,1,1,1,2,7,6,9999,3,2,99,2009,99,-1
5,254,13,1,2,8,21,2,1,1,1,2,9,99,9999,3,2,99,2009,99,-1
6,215,13,1,2,8,21,2,1,1,1,2,12,7,9999,3,2,99,2009,99,-1
7,220,13,1,2,8,21,2,1,1,1,2,12,7,9999,3,2,99,2009,99,-1
8,6341,13,12,7,9,12,2,1,1,1,2,3,5,9999,99,2,99,2009,99,-1
9,2743,22,5,5,9,9,2,1,1,1,2,3,2,1992,1,2,99,2009,99,-1
10,734,7,2,6,11,14,2,1,1,1,2,9,99,9999,2,2,99,2009,99,-1
11,1961,11,4,6,12,16,2,1,1,1,2,1,2,9999,4,2,99,2009,99,-1
12,128,8,1,4,12,20,2,1,1,1,2,10,1,9999,3,2,99,2009,99,-1
13,198,12,1,1,13,1,1,1,1,1,2,4,5,2009,1,2,99,2009,99,-1
14,713,5,2,4,13,1,2,1,1,1,2,7,7,9999,1,2,99,2009,99,-1
15,714,5,2,4,13,1,2,1,1,1,2,7,7,9999,1,2,99,2009,99,-1
16,4984,11,9,5,14,3,2,1,1,1,2,3,1,9999,1,2,99,2009,99,-1
17,5697,25,10,7,16,2,2,1,1,1,2,2,13,2004,1,2,99,2009,99,-1
18,5543,17,10,6,16,9,2,1,1,1,2,3,1,1997,3,2,99,2009,99,-1
19,3018,11,6,4,17,20,2,1,1,1,2,3,99,9999,3,2,99,2009,99,-1
20,1233,2,3,1,17,13,2,1,1,1,2,3,9,9999,2,2,99,2009,99,-1
21,2153,18,4,6,17,6,2,1,1,1,2,3,8,1991,1,2,99,2009,99,-1
22,6601,22,12,2,17,9,2,1,1,1,2,7,1,1984,2,2,99,2009,99,-1
23,6009,22,11,7,18,15,2,1,1,1,2,1,1,1998,1,2,99,2009,99,-1
