,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,zona_ocu,sexo_pil,edad_pil,estado_pil,tipo_vehi,color_vehi,modelo_vehi,causa_acc,year,muni_ocu,num_hecho,g_edad_pil,edad_m1
0,31,1,7,15,2,2,99,9,999,9,5,2,9999,3,2010,-1,-1,-1,9
1,29,11,1,22,9,2,99,1,37,1,5,7,9999,3,2010,-1,-1,-1,1
2,6,12,1,7,13,2,99,1,55,1,5,99,9999,4,2010,-1,-1,-1,1
3,8,8,7,17,16,2,99,1,35,1,3,3,9999,1,2010,-1,-1,-1,1
4,9,1,6,20,2,2,99,1,24,9,4,4,9999,1,2010,-1,-1,-1,1
5,30,4,5,2,1,1,18,1,22,2,1,4,1994,3,2010,-1,-1,-1,1
6,9,12,4,7,7,2,99,9,999,9,5,2,9999,1,2010,-1,-1,-1,9
7,31,7,6,8,20,2,99,1,24,1,5,99,9999,1,2010,-1,-1,-1,1
8,1,9,3,8,9,2,99,1,50,1,9,3,9999,2,2010,-1,-1,-1,1
9,18,9,6,13,1,2,99,1,36,1,2,6,1996,2,2010,-1,-1,-1,1
10,12,1,2,23,17,2,99,1,35,9,2,4,9999,1,2010,-1,-1,-1,1
11,16,1,6,13,5,2,99,1,35,9,3,9,9999,1,2010,-1,-1,-1,1
12,4,12,6,1,1,1,12,1,30,9,1,8,9999,2,2010,-1,-1,-1,1
13,15,9,3,3,10,1,99,1,24,9,1,5,9999,2,2010,-1,-1,-1,1
14,8,8,7,3,1,1,18,9,999,9,1,99,9999,2,2010,-1,-1,-1,9
15,11,12,6,3,1,2,99,1,999,1,4,5,9999,2,2010,-1,-1,-1,9
16,25,12,6,4,1,1,7,1,24,9,2,9,1993,2,2010,-1,-1,-1,1
17,29,11,1,7,1,2,99,1,30,9,6,99,9999,3,2010,-1,-1,-1,1
18,12,2,5,8,18,2,99,1,25,9,1,5,1997,1,2010,-1,-1,-1,1
19,9,12,4,8,5,2,99,1,60,9,4,1,2007,1,2010,-1,-1,-1,1
20,11,10,1,8,5,2,99,1,41,1,3,2,2009,1,2010,-1,-1,-1,1
21,2,6,3,8,1,1,3,1,27,1,7,7,9999,2,2010,-1,-1,-1,1
22,13,9,1,8,5,2,99,1,23,9,4,5,2009,1,2010,-1,-1,-1,1
23,21,12,2,10,1,2,99,9,999,9,7,6,1990,3,2010,-1,-1,-1,9
24,21,3,7,12,17,2,99,1,52,1,5,2,1996,1,2010,-1,-1,-1,1
25,7,4,3,15,5,2,99,1,63,1,3,6,9999,1,2010,-1,-1,-1,1
26,7,9,2,15,1,1,12,1,33,1,5,2,9999,2,2010,-1,-1,-1,1
27,15,11,1,15,1,2,99,1,999,1,6,2,9999,3,2010,-1,-1,-1,9
28,19,12,7,16,12,2,99,1,999,9,9,6,9999,3,2010,-1,-1,-1,9
29,27,9,1,17,22,2,99,1,26,1,3,5,9999,1,2010,-1,-1,-1,1
30,5,7,1,18,4,2,99,1,31,1,1,5,1997,1,2010,-1,-1,-1,1
31,14,5,5,18,8,2,99,1,35,1,1,1,9999,1,2010,-1,-1,-1,1
32,19,11,5,18,5,2,99,1,40,9,3,11,9999,4,2010,-1,-1,-1,1
33,23,2,2,19,1,1,8,1,45,9,1,5,9999,4,2010,-1,-1,-1,1
34,18,3,4,19,1,2,99,1,43,9,4,1,9999,2,2010,-1,-1,-1,1
35,31,5,1,19,1,2,99,2,27,1,3,9,1995,3,2010,-1,-1,-1,1
36,23,7,5,20,5,2,99,1,23,1,4,1,9999,1,2010,-1,-1,-1,1
37,1,4,4,20,5,2,99,1,43,1,2,99,9999,4,2010,-1,-1,-1,1
38,5,5,3,20,14,2,99,1,46,1,5,7,9999,4,2010,-1,-1,-1,1
39,16,3,2,20,5,2,99,1,23,9,1,4,9999,2,2010,-1,-1,-1,1
40,31,3,3,20,5,2,99,1,45,2,2,4,9999,4,2010,-1,-1,-1,1
41,18,12,6,22,5,2,99,1,35,9,1,4,9999,1,2010,-1,-1,-1,1
42,4,10,1,23,5,1,99,1,31,2,3,6,1986,1,2010,-1,-1,-1,1
