,num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,muni_ocu,areag_ocu,zona_ocu,sexo_pil,edad_pil,g_edad_pil,edad_m1,estado_pil,tipo_vehi,color_vehi,modelo_vehi,causa_acc,year
0,1,1,1,7,12,1,101,1,3,1,40,7,1,1,1,6,1999,1,2012
1,2,1,1,7,12,1,101,1,3,1,65,10,1,1,1,1,1997,1,2012
2,3,1,1,7,17,1,101,1,18,1,44,7,1,2,1,2,9999,1,2012
3,4,1,1,7,17,1,101,1,18,1,999,11,1,1,3,5,9999,1,2012
4,5,1,1,7,10,1,102,2,99,1,52,9,1,1,3,4,9999,2,2012
5,6,1,1,7,17,1,101,1,11,2,35,6,1,1,1,2,1997,1,2012
6,7,1,1,7,17,1,101,1,11,1,44,7,1,2,3,4,9999,1,2012
7,8,1,1,7,17,1,101,1,11,1,999,11,1,1,3,99,9999,1,2012
8,9,1,1,7,9,1,108,1,6,1,19,2,1,2,4,2,9999,1,2012
9,10,1,1,7,9,1,108,1,6,1,28,4,1,1,4,1,9999,1,2012
10,11,1,1,7,12,1,108,2,1,1,40,7,1,2,12,1,1990,3,2012
11,12,1,1,7,11,1,110,2,99,1,43,7,1,1,4,1,2000,2,2012
12,13,1,1,7,10,22,2215,2,99,1,31,5,1,1,3,1,9999,2,2012
13,14,1,1,7,16,21,2103,2,99,1,42,7,1,2,3,4,1987,1,2012
14,15,1,1,7,16,21,2103,2,99,1,23,3,1,1,4,1,2005,1,2012
15,16,1,1,7,2,20,2007,2,99,1,45,8,1,2,1,9,1978,1,2012
16,17,1,1,7,2,20,2007,2,99,1,19,2,1,2,1,5,1995,1,2012
17,18,1,1,7,0,19,1901,2,99,1,33,5,1,2,3,6,1994,3,2012
18,19,1,1,7,19,19,1903,2,99,1,999,11,1,2,2,11,9999,2,2012
19,20,1,1,7,18,19,1903,2,99,1,58,10,1,2,2,11,9999,1,2012
20,21,1,1,7,18,19,1903,2,99,1,41,7,1,1,2,2,2003,1,2012
21,22,1,1,7,18,19,1903,2,99,1,42,7,1,1,3,6,1995,1,2012
22,23,1,1,7,22,19,1903,2,99,1,38,6,1,1,3,3,9999,1,2012
23,24,1,1,7,22,19,1903,2,99,1,58,10,1,1,3,5,2010,1,2012
24,25,1,1,7,17,5,501,2,99,1,35,6,1,2,3,7,2004,3,2012
25,26,1,1,7,11,5,501,2,99,1,999,11,1,1,3,99,9999,3,2012
26,27,1,1,7,12,10,1002,2,99,1,76,10,1,1,3,99,9999,3,2012
27,28,1,1,7,11,11,1102,2,99,1,27,4,1,2,3,4,9999,1,2012
28,29,1,1,7,11,11,1102,2,99,1,43,7,1,1,1,5,2002,1,2012
29,30,1,1,7,19,9,918,2,99,1,28,4,1,2,3,5,1990,1,2012
30,31,1,1,7,19,9,918,2,99,1,19,2,1,2,3,1,9999,1,2012
31,32,1,1,7,14,12,1203,2,99,1,29,4,1,2,3,1,9999,1,2012
32,33,1,1,7,14,12,1203,2,99,1,29,4,1,1,1,11,2000,1,2012
33,34,1,1,7,4,13,1301,2,99,1,29,4,1,1,3,5,9999,3,2012
34,35,1,1,7,15,13,1301,2,99,9,999,11,9,9,2,99,9999,1,2012
35,36,1,1,7,15,13,1301,2,99,1,24,3,1,9,3,10,9999,1,2012
36,37,1,1,7,6,13,1301,2,99,1,29,4,1,2,3,5,9999,3,2012
37,38,1,1,7,13,15,1507,2,99,1,26,4,1,2,4,5,9999,2,2012
38,39,1,1,7,17,2,201,2,99,1,27,4,1,2,14,1,2009,3,2012
39,40,1,1,7,2,18,1801,2,99,9,999,11,1,9,4,1,9999,1,2012
40,41,1,1,7,2,18,1801,2,99,2,19,2,1,1,4,99,9999,1,2012
41,42,1,1,7,2,17,1712,2,99,1,46,8,1,1,3,99,9999,3,2012
42,43,1,1,7,14,7,701,2,99,9,999,11,1,9,3,1,9999,2,2012
43,44,2,1,1,22,1,101,1,3,1,38,6,1,1,1,2,2002,1,2012
44,45,2,1,1,22,1,101,1,3,1,18,2,1,1,1,2,9999,1,2012
45,46,2,1,1,22,1,113,2,99,9,999,11,1,1,3,1,9999,1,2012
46,47,2,1,1,22,1,113,2,99,1,23,3,1,1,4,1,9999,1,2012
47,48,2,1,1,13,1,108,1,3,1,33,5,1,2,1,6,1994,1,2012
48,49,2,1,1,13,1,108,1,3,1,42,7,1,1,1,2,1991,1,2012
49,50,2,1,1,13,1,108,1,3,1,21,3,1,1,12,1,9999,1,2012
50,51,2,1,1,22,1,108,1,4,1,30,5,1,1,4,1,9999,3,2012
51,52,2,1,1,10,20,2010,2,99,9,999,11,1,9,3,99,9999,3,2012
52,53,2,1,1,17,6,601,2,99,1,32,5,1,1,3,4,1994,1,2012
53,54,2,1,1,17,6,601,2,99,1,54,9,1,1,3,5,1987,1,2012
54,55,2,1,1,17,6,601,2,99,1,21,3,1,1,9,2,2007,1,2012
55,56,2,1,1,22,10,1001,2,99,1,45,8,1,2,1,14,1986,1,2012
56,57,2,1,1,22,10,1001,2,99,1,29,4,1,1,9,3,2008,1,2012
57,58,2,1,1,7,10,1001,1,1,1,22,3,1,9,4,1,2001,2,2012
58,59,2,1,1,21,15,1502,2,99,1,38,6,1,1,3,9,1998,3,2012
59,60,2,1,1,22,2,206,2,99,9,999,11,9,9,3,99,9999,2,2012
60,61,2,1,1,11,7,701,2,99,1,58,10,1,1,9,6,2005,1,2012
61,62,2,1,1,11,7,701,2,99,1,42,7,1,1,6,5,9999,1,2012
62,63,2,1,1,16,7,710,2,99,1,56,10,1,1,3,9,9999,1,2012
63,64,3,1,2,19,1,105,2,99,1,24,3,1,1,4,1,1986,3,2012
64,65,3,1,2,6,1,113,2,99,1,25,4,1,9,6,11,9999,1,2012
65,66,3,1,2,6,1,113,2,99,2,26,4,1,9,1,6,9999,1,2012
66,67,3,1,2,6,1,113,2,99,1,33,5,1,9,2,10,1986,1,2012
67,68,3,1,2,18,1,101,1,10,1,53,9,1,1,1,1,2008,1,2012
68,69,3,1,2,18,1,101,1,10,2,35,6,1,1,2,4,2001,1,2012
69,70,3,1,2,9,10,1020,2,99,1,76,10,1,1,5,99,9999,1,2012
70,71,3,1,2,8,14,1405,2,99,1,36,6,1,1,9,6,2009,1,2012
71,72,3,1,2,8,14,1405,2,99,1,27,4,1,1,4,99,9999,1,2012
72,73,3,1,2,15,14,1401,2,99,1,29,4,1,1,2,2,9999,2,2012
73,74,3,1,2,9,10,1020,2,99,1,31,5,1,1,3,2,1999,1,2012
74,75,4,1,3,16,1,115,2,99,1,37,6,1,1,5,3,9999,1,2012
75,76,4,1,3,16,1,115,2,99,1,23,3,1,1,4,9,9999,1,2012
76,77,4,1,3,10,1,115,2,99,1,44,7,1,1,3,6,9999,2,2012
77,78,4,1,3,19,5,501,1,1,1,25,4,1,1,3,1,9999,1,2012
78,79,4,1,3,19,5,501,1,1,2,21,3,1,1,4,4,9999,1,2012
79,80,5,1,4,18,1,101,1,6,1,38,6,1,1,8,4,2003,1,2012
80,81,5,1,4,18,1,101,1,6,1,17,2,2,1,4,99,9999,1,2012
81,82,5,1,4,21,1,102,2,99,1,20,3,1,2,1,4,2006,1,2012
82,83,5,1,4,21,1,102,2,99,2,42,7,1,1,2,9,2008,1,2012
83,84,5,1,4,9,1,115,1,12,1,36,6,1,1,3,16,9999,1,2012
84,85,5,1,4,9,1,115,1,12,1,20,3,1,1,4,1,9999,1,2012
85,86,5,1,4,18,18,1801,2,99,1,40,7,1,1,4,99,9999,1,2012
86,87,5,1,4,18,18,1801,2,99,9,999,11,9,9,6,99,9999,1,2012
87,88,6,1,5,20,5,501,2,99,9,999,11,9,9,6,2,1999,1,2012
88,89,6,1,5,20,5,501,2,99,1,38,6,1,9,3,2,1981,1,2012
89,90,6,1,5,11,14,1401,2,99,9,999,11,9,9,14,1,9999,4,2012
90,91,7,1,6,21,1,101,1,1,1,31,5,1,1,2,2,9999,1,2012
91,92,7,1,6,21,1,101,1,1,1,27,4,1,1,3,5,9999,1,2012
92,93,7,1,6,22,1,101,1,17,1,25,4,1,1,1,2,2000,1,2012
93,94,7,1,6,22,1,101,1,17,1,33,5,1,1,3,1,1987,1,2012
94,95,7,1,6,18,22,2201,2,99,1,36,6,1,9,4,1,2010,1,2012
95,96,7,1,6,18,22,2201,2,99,9,999,11,9,9,12,2,9999,1,2012
96,97,7,1,6,20,6,602,2,99,1,56,10,1,9,5,2,9999,1,2012
97,98,7,1,6,20,6,602,2,99,1,999,11,1,9,2,4,9999,1,2012
98,99,7,1,6,11,11,1101,2,99,1,32,5,1,9,4,1,9999,1,2012
99,100,7,1,6,11,11,1101,2,99,9,999,11,9,9,1,99,9999,1,2012
100,101,7,1,6,22,9,901,2,99,1,21,3,1,2,9,1,9999,1,2012
101,102,7,1,6,22,9,901,2,99,9,999,11,9,9,1,6,1994,1,2012
102,103,7,1,6,1,15,1501,2,99,1,999,11,1,1,1,3,9999,2,2012
103,104,7,1,6,13,2,201,2,99,1,60,10,1,1,1,6,1997,2,2012
104,105,7,1,6,12,3,301,2,99,1,32,5,1,1,1,4,2001,1,2012
105,106,7,1,6,12,3,301,2,99,1,51,9,1,1,2,2,2002,1,2012
106,107,8,1,7,21,5,502,2,99,1,25,4,1,1,4,99,9999,1,2012
107,108,8,1,7,21,5,502,2,99,1,999,11,1,1,4,99,9999,1,2012
108,109,8,1,7,1,13,1301,2,99,1,49,8,1,2,3,99,9999,2,2012
109,110,8,1,7,1,1,101,1,12,1,23,3,1,9,1,99,2003,2,2012
110,111,8,1,7,16,17,1704,1,99,1,28,4,1,9,4,99,9999,2,2012
111,112,8,1,7,1,1,108,1,7,1,29,4,1,9,1,4,9999,1,2012
112,113,8,1,7,1,1,108,1,7,1,999,11,1,9,3,5,9999,1,2012
113,114,9,1,1,0,1,102,2,99,1,22,3,1,9,4,99,9999,3,2012
114,115,9,1,1,15,1,117,1,9,1,36,6,1,9,3,1,9999,1,2012
115,116,9,1,1,15,1,117,1,9,1,44,7,1,9,3,2,1986,1,2012
116,117,9,1,1,16,9,909,2,99,1,39,6,1,2,5,2,1990,1,2012
117,118,9,1,1,16,9,909,2,99,2,24,3,1,1,1,14,2011,1,2012
118,119,9,1,1,11,13,1304,2,99,1,999,11,9,9,3,99,9999,3,2012
119,120,9,1,1,20,8,803,2,99,1,44,7,1,2,3,4,9999,1,2012
