,areag_ocu,causa_acc,color_vehi,depto_ocu,dia_ocu,dia_sem_ocu,edad_fall_les,edad_m1,fall_les,g_edad,hora_ocu,marca_vehi,mes_ocu,modelo_vehi,muni_ocu,num_hecho,sexo_fall_les,tipo_vehi,year,zona_ocu
0,1,2,9,1,29,7,1,2,2,1,6,99,11,9999,-1,6133,1,1,2009,99
1,2,3,1,22,11,6,1,2,2,1,6,99,4,9999,-1,1969,1,7,2009,99
2,2,3,6,9,4,2,1,2,2,1,7,99,8,9999,-1,3927,1,7,2009,99
3,2,3,6,9,4,2,1,2,2,1,7,99,8,9999,-1,4284,1,7,2009,99
4,2,3,6,9,4,2,1,2,2,1,7,99,8,9999,-1,4420,1,7,2009,99
5,2,3,99,21,13,2,1,2,2,1,8,99,1,9999,-1,254,1,9,2009,99
6,2,3,7,21,13,2,1,2,2,1,8,99,1,9999,-1,215,1,12,2009,99
7,2,3,7,21,13,2,1,2,2,1,8,99,1,9999,-1,220,1,12,2009,99
8,2,99,5,12,13,7,1,2,2,1,9,99,12,9999,-1,6341,1,3,2009,99
9,2,1,2,9,22,5,1,2,2,1,9,99,5,1992,-1,2743,1,3,2009,99
10,2,2,99,14,7,6,1,2,2,1,11,99,2,9999,-1,734,1,9,2009,99
11,2,4,2,16,11,6,1,2,2,1,12,99,4,9999,-1,1961,1,1,2009,99
12,2,3,1,20,8,4,1,2,2,1,12,99,1,9999,-1,128,1,10,2009,99
13,1,1,5,1,12,1,1,2,2,1,13,99,1,2009,-1,198,1,4,2009,99
14,2,1,7,1,5,4,1,2,2,1,13,99,2,9999,-1,713,1,7,2009,99
15,2,1,7,1,5,4,1,2,2,1,13,99,2,9999,-1,714,1,7,2009,99
16,2,1,1,3,11,5,1,2,2,1,14,99,9,9999,-1,4984,1,3,2009,99
17,2,1,13,2,25,7,1,2,2,1,16,99,10,2004,-1,5697,1,2,2009,99
18,2,3,1,9,17,6,1,2,2,1,16,99,10,1997,-1,5543,1,3,2009,99
19,2,3,99,20,11,4,1,2,2,1,17,99,6,9999,-1,3018,1,3,2009,99
20,2,2,9,13,2,1,1,2,2,1,17,99,3,9999,-1,1233,1,3,2009,99
21,2,1,8,6,18,6,1,2,2,1,17,99,4,1991,-1,2153,1,3,2009,99
22,2,2,1,9,22,2,1,2,2,1,17,99,12,1984,-1,6601,1,7,2009,99
23,2,1,1,15,22,7,1,2,2,1,18,99,11,1998,-1,6009,1,1,2009,99
24,1,1,17,1,20,7,1,2,2,1,18,99,12,9999,-1,6548,1,1,2009,99
25,2,1,6,4,21,4,1,2,2,1,19,99,5,1999,-1,2733,1,1,2009,99
26,1,1,99,1,19,7,1,2,2,1,22,99,4,9999,-1,2191,1,1,2009,99
27,2,3,2,11,8,7,1,2,2,1,0,99,11,1998,-1,5873,2,3,2009,99
28,2,4,2,9,29,7,1,2,2,1,1,99,11,9999,-1,6150,2,3,2009,99
29,2,1,4,18,5,4,1,2,2,1,6,99,11,2000,-1,5832,2,1,2009,99
30,1,2,99,1,3,7,1,2,2,1,7,99,5,9999,-1,2435,2,7,2009,99
31,2,3,14,5,1,4,1,2,2,1,8,99,1,1983,-1,13,2,1,2009,99
32,2,3,6,14,10,5,1,2,2,1,8,99,7,1975,-1,3524,2,3,2009,99
33,2,3,6,14,10,5,1,2,2,1,8,99,7,1975,-1,3535,2,3,2009,99
34,2,1,99,3,24,4,1,2,2,1,9,99,9,9999,-1,5174,2,7,2009,99
35,1,1,11,1,1,6,1,2,2,1,10,99,8,2001,-1,3847,2,1,2009,99
36,1,1,11,1,1,6,1,2,2,1,10,99,8,2001,-1,4204,2,1,2009,99
37,1,1,11,1,1,6,1,2,2,1,10,99,8,2001,-1,4340,2,1,2009,99
38,2,1,99,11,11,5,1,2,2,1,10,99,12,9999,-1,6305,2,10,2009,99
39,1,1,9,1,6,7,1,2,2,1,13,99,9,1983,-1,4915,2,1,2009,99
40,2,2,3,10,3,5,1,2,2,1,14,99,7,9999,-1,3409,2,1,2009,99
41,1,1,9,14,1,2,1,2,2,1,14,99,9,1983,-1,4856,2,3,2009,99
42,1,1,5,1,12,7,1,2,2,1,14,99,4,9999,-1,2081,2,4,2009,99
43,2,3,6,15,1,4,1,2,2,1,15,99,10,2004,-1,5308,2,9,2009,99
44,1,1,1,16,4,3,1,2,2,1,15,99,2,1985,-1,666,2,10,2009,99
45,2,3,3,8,31,4,1,2,2,1,16,99,12,9999,-1,6783,2,3,2009,99
46,2,3,11,16,22,1,1,2,2,1,16,99,6,1984,-1,3275,2,3,2009,99
47,1,3,14,22,5,7,1,2,2,1,16,99,4,1999,-1,1814,2,3,2009,99
48,1,1,5,6,4,7,1,2,2,1,16,99,10,9999,-1,5353,2,9,2009,99
49,2,2,99,6,7,2,1,2,2,1,17,99,4,9999,-1,1864,2,2,2009,99
50,2,2,9,13,2,1,1,2,2,1,17,99,3,9999,-1,1230,2,3,2009,99
51,2,2,9,13,2,1,1,2,2,1,17,99,3,9999,-1,1231,2,3,2009,99
52,2,1,2,7,25,3,1,2,2,1,17,99,11,9999,-1,6082,2,3,2009,99
53,2,2,3,14,9,1,1,2,2,1,20,99,2,9999,-1,783,2,3,2009,99
54,2,1,1,3,31,4,1,2,2,1,20,99,12,1995,-1,6772,2,3,2009,99
55,2,4,4,8,12,6,1,2,2,1,21,99,9,9999,-1,5002,2,2,2009,99
56,1,1,11,1,30,1,2,2,2,1,0,99,3,1996,-1,1732,1,1,2009,99
57,2,4,6,18,21,1,2,2,2,1,0,99,12,9999,-1,6575,1,2,2009,99
58,1,4,2,1,23,1,2,2,2,1,3,99,3,9999,-1,1631,1,7,2009,99
59,2,2,6,6,4,3,2,2,2,1,5,99,2,1991,-1,634,1,7,2009,99
60,2,3,1,22,11,6,2,2,2,1,6,99,4,9999,-1,1967,1,7,2009,99
61,1,1,2,12,30,2,2,2,2,1,6,99,6,2006,-1,3371,1,9,2009,99
62,2,1,4,1,24,4,2,2,2,1,8,99,9,1989,-1,5184,1,1,2009,99
63,2,3,1,9,27,5,2,2,2,1,8,99,2,9999,-1,1154,1,3,2009,99
64,2,3,99,4,14,6,2,2,2,1,10,99,11,1986,-1,5920,1,3,2009,99
65,2,1,99,17,28,6,2,2,2,1,10,99,3,9999,-1,1709,1,3,2009,99
66,2,3,3,14,8,2,2,2,2,1,11,99,12,9999,-1,6272,1,3,2009,99
67,2,1,9,1,16,3,2,2,2,1,11,99,12,1981,-1,6427,1,3,2009,99
68,2,4,3,16,22,5,2,2,2,1,11,99,5,9999,-1,2749,1,9,2009,99
69,1,1,7,1,1,4,2,2,2,1,12,99,1,9999,-1,1,1,12,2009,99
70,2,2,99,12,20,7,2,2,2,1,13,99,9,9999,-1,5113,1,4,2009,99
71,2,1,7,1,5,4,2,2,2,1,13,99,2,9999,-1,715,1,7,2009,99
72,2,2,3,10,3,5,2,2,2,1,14,99,7,9999,-1,3407,1,1,2009,99
73,2,2,6,15,23,1,2,2,2,1,14,99,2,9999,-1,1091,1,9,2009,99
74,2,1,13,2,25,7,2,2,2,1,16,99,10,2004,-1,5696,1,2,2009,99
75,2,3,99,1,13,5,2,2,2,1,16,99,3,9999,-1,1409,1,3,2009,99
76,2,1,4,1,1,5,2,2,2,1,17,99,5,1999,-1,2411,1,1,2009,99
77,2,3,5,10,17,2,2,2,2,1,17,99,3,9999,-1,1527,1,3,2009,99
78,2,3,5,10,17,2,2,2,2,1,17,99,3,9999,-1,1530,1,3,2009,99
79,2,3,99,20,11,4,2,2,2,1,17,99,6,9999,-1,3019,1,3,2009,99
80,2,2,9,13,2,1,2,2,2,1,17,99,3,9999,-1,1228,1,3,2009,99
81,2,1,99,4,2,5,2,2,2,1,19,99,1,9999,-1,72,1,3,2009,99
82,1,1,1,17,17,2,2,2,2,1,20,99,3,9999,-1,1544,1,10,2009,99
83,2,2,99,17,2,4,2,2,2,1,21,99,4,9999,-1,1774,1,9,2009,99
